label,city,state,lon,lat,m4m,m4w,w4m,w4w,k1,c1,k2,c2,k3,c3,k4,c4,k5,c5
city,kalamazoo,MI,,,36,84,26,79,girl,13,ltr,12,seeking,12,friend,11,fun,11
city,"jackson, TN",TN,-88.841225,35.612405,63,98,33,50,m4m,22,real,18,need,14,woman,13,black,12
city,central SD,AK,-151.025085,65.226375,2703,614,26,77,m4m,8,love,5,fun,4,man,4,real,4
city,roseburg,OR,-123.360805,43.053573,0,37,0,39,more,6,seeking,5,country,4,friends,4,girl,4
city,hattiesburg,MS,-89.294772,31.172142,27,52,37,47,m4m,9,seeking,9,here,8,real,8,white,8
city,madison,CA,-121.972096,38.671903,214,338,75,39,guy,50,m4m,47,fun,40,seeking,30,woman,29
city,ocala,FL,-82.087458,29.240728,75,151,39,0,m4m,28,woman,27,need,18,seeking,18,man,14
city,wichita falls,TX,-98.576573,33.87121,11,54,17,3,good,6,ltr,6,old,5,real,5,girl,4
city,battle creek,NE,-97.568855,41.976904,16,21,15,81,friends,9,girl,7,seeking,7,something,7,w4w,7
city,knoxville,AR,-93.335178,35.385081,651,505,96,64,m4m,186,seeking,74,cock,67,suck,58,good,50
city,toledo,WA,-122.794980,46.456038,174,248,63,26,m4m,54,seeking,33,guy,27,woman,27,young,25
city,reading,KS,-96.01436,38.533232,75,117,0,0,m4m,25,woman,11,mature,9,seeking,9,guy,8
city,yuma,AZ,-114.074901,32.751632,50,53,16,1,m4m,18,bottom,6,y,6,friend,5,para,5
city,central MI,AK,-151.025085,65.226375,2703,614,26,77,girl,14,seeking,11,friend,10,fun,10,woman,8
city,nashville,AR,-93.942206,34.024903,2747,989,191,75,m4m,572,guy,244,fun,206,bottom,197,need,194
city,boise,ID,-116.243984,43.459855,269,436,124,62,m4m,76,out,43,fun,42,seeking,38,want,34
city,"decatur, IL",IL,-88.981511,39.853981,8,19,14,48,fwb,5,new,5,s,5,curious,4,friends,4
city,butte,NE,-98.847065,42.911492,67,11,49,25,m4m,14,girl,9,man,9,friend,6,fun,6
city,las vegas,NV,-114.972061,35.927901,5162,1946,268,272,m4m,1102,guy,439,top,423,cock,379,fun,374
city,statesboro,GA,-81.715799,32.450032,15,33,15,18,something,7,man,5,female,4,guy,4,m4w,4
city,lawton,OK,-98.387482,34.560957,24,57,38,12,guy,8,seeking,8,friend,7,real,7,love,6
